NUTSID,NUTSName,Year,CDUCSU,SPD,B90GR,PDS,FDP,REP,BFB,Graue,DP,APD,STATT,PASS,BP,Forum,PBC,Natur,DSU,NPD,CM,CL,Autonome,BSo,PEAD,BSA,FAMILIE,Other,Electorate,Votes,Validvotes,Invalidvotes
DED1B,Aue-Schwarzenberg,1994,35708,16787,3359,12385,2742,3734,1408,755,175,965,233,1076,76,852,528,242,2626,326,284,295,78,58,52,44,0,8665,119567,90399,84788,5611
DED1C,Zwickauer Land,1994,30803,16779,3630,9554,3505,3279,626,756,201,872,246,879,99,859,426,258,1427,152,323,249,64,67,57,56,0,6991,107864,79535,75167,4368
DED21,"Dresden, Kreisfreie Stadt",1994,93486,36856,21130,56043,9674,7170,4031,3927,1424,3002,1129,2501,190,3358,432,832,3943,705,347,462,361,392,397,139,0,23541,389667,262808,251931,10877
DED22,"Görlitz, Kreisfreie Stadt",1994,12760,6140,1817,6019,1090,1507,416,492,123,417,136,540,45,354,60,111,1117,134,65,122,35,29,29,23,0,3832,55044,35281,33581,1700
DED23,"Hoyerswerda, Kreisfreie Stadt",1994,7766,7496,994,8263,890,652,237,229,65,294,63,350,28,193,35,101,261,58,28,36,28,18,33,18,0,1838,48325,29765,28136,1629
DED24,Bautzen,1994,42962,13604,3314,13002,2934,3268,823,888,263,1302,245,1164,77,827,220,302,1485,213,199,220,65,97,82,36,0,7685,124741,93197,87592,5605
DED25,Meißen,1994,33495,12646,4771,12378,3403,3004,876,1112,273,1062,294,928,68,986,127,238,1753,285,130,155,48,127,102,34,0,7722,117347,83796,78295,5501
DED26,Niederschlesischer Oberlausitzkreis,1994,22301,9942,2120,9930,1700,2716,462,537,147,751,140,845,52,536,119,244,1214,111,107,150,38,66,63,43,0,5163,81535,57738,54334,3404
DED27,Riesa-Großenhain,1994,26053,12995,2934,11343,2513,2248,507,696,190,810,160,833,59,612,127,255,1451,108,83,99,49,47,46,27,0,5652,97813,68685,64245,4440
DED28,Löbau-Zittau,1994,38927,13369,3593,14129,3258,3603,1664,1225,203,1320,275,1431,145,1037,335,285,2166,210,223,259,106,92,97,54,0,9463,129273,94535,88006,6529
DED29,Sächsische Schweiz,1994,39329,12011,3529,12898,3063,3022,954,1152,236,1068,298,1141,77,746,118,292,1306,545,130,135,59,132,114,87,0,7636,118270,87318,82442,4876
