ID,Name,Year,sp.a,SLP,NVA,GROEN,VlaamsBelang,CDV,OpenVld,LijstDedecker,CAP,LSP,PVDA,PS,CDH,MR,ECOLO,R.W.F.,FN,PTB,PCGE,MS,LCRPSL,CAPDORAZIO,WALLONIEDABORD,SP,CSP,PFF,ECOLO_G,EUROPAderWERTE,ProDG,VIVANT,Electorate,Votes,Validvotes,Invalidvotes
Paliseul,Paliseul,2009,0,0,0,0,0,0,0,0,0,0,0,1928,2510,2433,1892,67,273,33,10,4,23,9,94,0,0,0,0,0,0,0,11262,10425,9276,1149
Saint-Hubert ,Saint-Hubert ,2009,0,0,0,0,0,0,0,0,0,0,0,1936,1258,1903,1296,63,141,17,5,8,6,10,64,0,0,0,0,0,0,0,7997,7393,6707,686
Sainte-Ode,Sainte-Ode,2009,0,0,0,0,0,0,0,0,0,0,0,784,1199,1513,785,29,91,11,7,2,7,5,35,0,0,0,0,0,0,0,5317,4982,4468,514
Vielsalm,Vielsalm,2009,0,0,0,0,0,0,0,0,0,0,0,1576,1732,1562,1910,98,216,36,35,7,14,12,61,0,0,0,0,0,0,0,9118,8289,7259,1030
Virton,Virton,2009,0,0,0,0,0,0,0,0,0,0,0,3186,2820,3020,3495,224,414,66,38,11,26,26,181,0,0,0,0,0,0,0,16851,15360,13507,1853
Wellin,Wellin,2009,0,0,0,0,0,0,0,0,0,0,0,1017,743,1324,805,56,103,13,1,6,4,6,38,0,0,0,0,0,0,0,5133,4609,4116,493
Andenne,Andenne,2009,0,0,0,0,0,0,0,0,0,0,0,6463,2614,5030,5542,414,743,166,33,53,49,51,336,0,0,0,0,0,0,0,26550,23806,21494,2312
Beauraing,Beauraing,2009,0,0,0,0,0,0,0,0,0,0,0,2107,1214,2537,1653,141,217,35,16,9,9,2,129,0,0,0,0,0,0,0,9887,9035,8069,966
Ciney,Ciney,2009,0,0,0,0,0,0,0,0,0,0,0,4296,3005,6164,4844,308,485,107,36,49,36,26,297,0,0,0,0,0,0,0,24341,21852,19653,2199
Couvin,Couvin,2009,0,0,0,0,0,0,0,0,0,0,0,3664,2051,2559,2062,342,492,55,19,43,20,25,230,0,0,0,0,0,0,0,14770,13287,11562,1725
Dinant,Dinant,2009,0,0,0,0,0,0,0,0,0,0,0,5321,3428,6652,5308,571,846,147,31,40,34,36,405,0,0,0,0,0,0,0,28322,25758,22819,2939
Eghezée,Eghezée,2009,0,0,0,0,0,0,0,0,0,0,0,4292,3471,5776,4533,369,503,119,25,15,38,29,278,0,0,0,0,0,0,0,22917,21030,19448,1582
Florennes ,Florennes ,2009,0,0,0,0,0,0,0,0,0,0,0,1650,1360,1775,1217,157,354,39,16,22,10,20,163,0,0,0,0,0,0,0,8404,7699,6783,916
Fosses-la-Ville ,Fosses-la-Ville ,2009,0,0,0,0,0,0,0,0,0,0,0,6017,3981,6490,6078,534,1056,258,39,28,35,47,612,0,0,0,0,0,0,0,30657,27602,25175,2427
Gedinne,Gedinne,2009,0,0,0,0,0,0,0,0,0,0,0,1232,1292,2253,1164,125,216,31,8,10,12,19,111,0,0,0,0,0,0,0,7894,7311,6473,838
Gembloux,Gembloux,2009,0,0,0,0,0,0,0,0,0,0,0,12918,6362,10762,10492,1006,1920,329,69,40,81,125,1152,0,0,0,0,0,0,0,55642,49983,45256,4727
Namur,Namur,2009,0,0,0,0,0,0,0,0,0,0,0,16799,10965,17390,19190,1481,1999,657,113,73,169,115,1133,0,0,0,0,0,0,0,86839,75595,70084,5511
Philippeville ,Philippeville ,2009,0,0,0,0,0,0,0,0,0,0,0,2634,1396,3286,1891,273,461,73,14,13,15,15,200,0,0,0,0,0,0,0,12467,11496,10271,1225
Rochefort,Rochefort,2009,0,0,0,0,0,0,0,0,0,0,0,1605,1103,2497,1718,109,182,21,13,25,16,9,93,0,0,0,0,0,0,0,9157,8329,7391,938
Walcourt,Walcourt,2009,0,0,0,0,0,0,0,0,0,0,0,3176,1621,2631,2288,322,579,92,19,12,21,25,224,0,0,0,0,0,0,0,13497,12200,11010,1190
Genappe,Genappe,2009,0,0,0,0,0,0,0,0,0,0,0,2447,2354,5520,3981,249,400,65,22,10,36,39,284,0,0,0,0,0,0,0,18041,16456,15407,1049
Jodoigne ,Jodoigne ,2009,0,0,0,0,0,0,0,0,0,0,0,4873,2889,11291,5916,367,573,110,28,23,56,53,367,0,0,0,0,0,0,0,30783,28389,26546,1843
Nivelles,Nivelles,2009,0,0,0,0,0,0,0,0,0,0,0,15726,9178,30298,21703,1331,2450,517,129,80,194,676,1363,0,0,0,0,0,0,0,100459,89550,83645,5905
Perwez,Perwez,2009,0,0,0,0,0,0,0,0,0,0,0,3007,2727,6023,4712,202,315,62,17,9,36,34,274,0,0,0,0,0,0,0,20138,18532,17418,1114
Wavre,Wavre,2009,0,0,0,0,0,0,0,0,0,0,0,10622,9531,34011,24330,1158,1537,325,134,53,243,161,984,0,0,0,0,0,0,0,99023,88326,83089,5237
Avelgem,Avelgem,2009,1304,77,390,481,801,2188,1723,728,13,27,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9096,8496,7789,707
Brugge,Brugge,2009,22784,1483,16106,14634,22712,42633,35787,17469,219,456,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204213,185384,175458,9926
Diksmuide ,Diksmuide ,2009,3559,224,2256,1546,3694,11037,6083,4883,41,64,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39045,36408,33580,2828
Gistel,Gistel,2009,3104,216,1758,1276,2632,6124,4636,3838,20,58,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27034,25469,23802,1667
Harelbeke ,Harelbeke ,2009,6179,359,4178,2967,6676,16794,8949,5352,46,83,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58556,55115,51894,3221
Hooglede,Hooglede,2009,1224,81,1283,791,1421,5310,2470,1582,16,44,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16446,15304,14284,1020
Ieper ,Ieper ,2009,3189,227,2058,1691,3265,10901,4028,3106,31,70,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33487,30680,28713,1967
Izegem,Izegem,2009,3556,180,3407,1654,3518,7137,3535,2625,30,68,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29815,27711,25883,1828
Kortrijk ,Kortrijk ,2009,9937,650,7774,6786,10934,26952,16885,7979,127,205,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101563,94160,88954,5206
Lichtervelde,Lichtervelde,2009,565,43,438,318,515,2152,1063,659,7,15,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6665,6265,5816,449
Menen,Menen,2009,6736,337,3171,3170,5532,11520,6266,4346,82,102,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48416,44884,41697,3187
Mesen,Mesen,2009,480,43,355,388,626,2009,1036,668,9,13,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6666,6233,5680,553
Meulebeke ,Meulebeke ,2009,1084,82,1284,633,1635,4811,2099,1436,15,18,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15063,14113,13152,961
