NUTSID,NUTSName,CDU,SPD,GRNE,CSU,DIELINKE,FDP,REP,DieTierschutzpartei,FAMILIE,dp,DIEFRAUEN,Volksabstimmung,PBC,CM,AUFBRUCH,DKP,BP,PSG,BSo,Plus,AUF,DVU,DIEGRAUEN,DIEVIOLETTEN,EDE,FBI,VOLKSENTSCHEIDE,FWFREIEWHLER,Newropeans,PIRATEN,RRP,RENTNER,Wahlberechtigte,Whler,Ungltige,Gltige
DEA34,Borken,66734,23496,10392,0,3130,14899,604,724,831,145,283,143,142,153,51,68,44,21,27,144,118,224,110,110,27,90,75,212,32,760,221,580,273787,125560,970,124590
DEA35,Coesfeld,39800,15666,9094,0,2243,10335,373,537,529,118,188,125,36,91,49,38,36,18,8,112,73,133,105,65,19,67,42,166,34,494,172,395,169504,81823,662,81161
DEA36,Recklinghausen,65321,64095,18613,0,11873,19410,2327,2117,1413,227,549,486,323,227,121,216,117,64,60,468,205,760,350,196,55,198,165,436,81,1654,570,1445,487998,196386,2244,194142
DEA37,Steinfurt,69276,40393,14793,0,5236,17263,693,884,899,184,325,203,161,113,72,63,48,34,18,205,165,272,170,124,36,100,91,432,48,982,278,712,335812,155550,1277,154273
DEA38,Warendorf,44034,19980,9643,0,2868,11277,466,654,612,131,221,144,106,151,57,42,54,18,23,150,94,182,90,92,21,84,59,309,24,581,189,499,211179,93760,905,92855
DEA41,"Bielefeld, Stadt",34900,27184,19765,0,6138,9853,694,901,477,171,233,246,402,155,54,107,61,57,24,187,148,279,137,227,37,93,84,284,51,1037,266,546,238773,105723,925,104798
DEA42,Gütersloh,52069,24792,13948,0,3741,13914,694,870,779,299,258,258,240,165,73,55,76,33,25,186,126,288,154,127,32,124,80,478,38,789,272,511,261769,116700,1206,115494
DEA43,Herford,28155,24343,8879,0,3459,8850,677,733,504,114,191,190,289,120,49,50,52,22,18,149,57,255,104,101,15,95,72,902,23,603,183,462,195933,80695,979,79716
DEA44,Höxter,27522,10012,3736,0,1529,5833,341,318,581,251,125,110,71,131,37,22,36,6,5,59,39,157,53,51,11,77,35,131,9,344,111,223,116849,52642,676,51966
DEA45,Lippe,40849,35339,13396,0,4684,13354,923,1025,712,182,274,240,978,242,120,50,69,28,44,201,636,321,146,150,40,157,87,903,43,826,243,656,275179,118335,1417,116918
DEA46,Minden-Lübbecke,34532,28863,9359,0,3730,10729,947,719,566,130,185,181,523,142,69,67,50,17,31,168,108,223,138,103,17,69,82,382,33,632,192,513,247440,94475,975,93500
DEA47,Paderborn,47553,14949,10245,0,2783,10117,606,562,641,191,207,184,393,183,58,36,49,21,11,141,92,228,98,116,29,789,75,216,31,846,164,442,223632,92949,893,92056
DEA51,"Bochum, Stadt",31369,35994,15779,0,7575,9424,1021,1373,703,162,306,273,162,115,59,125,43,43,56,199,96,343,165,159,41,81,107,234,61,1239,344,838,285881,109696,1207,108489
DEA52,"Dortmund, Stadt",45742,56117,24813,0,11158,16507,1373,1865,895,185,467,389,155,146,91,226,58,40,71,368,84,1293,334,207,82,555,118,465,99,1846,590,1460,424350,169212,1413,167799
DEA53,"Hagen, Stadt",16139,13875,5066,0,2572,5144,1087,624,313,50,125,129,92,53,43,43,25,10,17,144,52,144,79,56,18,65,49,154,23,382,229,399,140585,47654,453,47201
DEA54,"Hamm, Stadt",19112,15544,4435,0,2655,4984,590,421,310,43,145,88,44,58,19,34,28,12,9,97,27,144,69,43,10,35,43,73,7,379,143,402,129484,50551,548,50003
DEA55,"Herne, Stadt",12479,16436,4020,0,3239,3329,1335,536,313,40,135,102,71,45,25,41,22,12,10,96,71,110,75,50,8,49,45,73,17,417,156,291,118497,44267,619,43648
DEA56,Ennepe-Ruhr-Kreis,33484,34357,14815,0,5804,12323,951,1357,736,142,291,274,244,125,69,113,63,59,29,255,98,357,187,173,42,120,91,286,54,894,325,847,261546,110192,1227,108965
DEA57,Hochsauerlandkreis,50354,18514,6093,0,2725,10816,637,657,630,108,199,184,87,153,61,39,44,11,19,141,87,218,122,112,19,94,72,217,19,569,212,611,209968,94798,974,93824
DEA58,Märkischer Kreis,49339,30509,11282,0,5375,15001,1580,1380,887,165,313,329,526,223,92,97,86,31,29,293,182,402,208,150,42,100,114,376,46,918,753,1126,321366,123303,1349,121954
DEA59,Olpe,26755,7652,2910,0,1159,4638,493,254,279,50,102,65,42,67,23,25,24,13,9,47,33,77,45,38,6,34,27,78,10,220,100,218,104744,45909,416,45493
DEA5A,Siegen-Wittgenstein,34079,22031,8625,0,3448,9802,1092,769,494,190,182,242,981,198,84,67,57,20,16,159,238,281,105,68,15,60,89,231,32,591,220,444,218702,85847,937,84910
DEA5B,Soest,42027,21132,8839,0,3506,10572,611,741,710,112,236,196,160,174,46,46,44,32,24,180,69,271,118,104,47,110,62,226,33,689,246,508,232801,92714,843,91871
DEA5C,Unna,40685,45042,14734,0,6926,13550,1230,1337,953,147,345,309,150,132,82,71,54,22,40,262,100,503,206,140,38,193,122,421,52,1069,387,1570,314031,132332,1460,130872
DEB11,"Koblenz, Stadt",14950,8554,4760,0,1433,4293,253,449,228,111,106,99,74,48,26,23,31,8,13,106,39,75,41,57,11,85,57,150,20,425,120,215,82677,37695,835,36860
DEB12,Ahrweiler,26336,9241,4849,0,1462,6884,517,663,359,166,151,134,70,82,65,26,54,11,17,134,48,124,79,108,25,60,75,1028,17,369,171,463,100493,55625,1837,53788
DEB13,Altenkirchen (Westerwald),22994,13492,3986,0,1980,5876,565,705,398,92,136,150,547,93,48,35,49,9,8,118,59,128,102,80,13,34,72,466,16,316,185,380,103312,55306,2174,53132
DEB14,Bad Kreuznach,24291,18925,5886,0,2123,7442,901,967,509,120,210,171,220,107,71,54,55,14,14,161,74,199,94,128,29,37,87,718,17,483,240,476,121798,67731,2908,64823
DEB15,Birkenfeld,11150,10329,2302,0,1691,4303,460,533,349,45,140,64,61,33,40,41,30,10,8,86,55,120,66,48,9,42,37,138,13,203,158,306,69054,34734,1864,32870
DEB16,Cochem-Zell,16610,5559,1721,0,683,3327,294,388,292,36,84,82,98,64,45,19,22,8,7,67,46,50,44,48,7,34,44,310,6,225,117,265,52224,32391,1789,30602
DEB17,Mayen-Koblenz,39778,20977,6178,0,2285,8415,767,995,685,150,251,188,199,102,67,34,57,12,23,220,84,161,156,115,13,68,104,761,30,499,263,552,167134,87404,3215,84189
DEB18,Neuwied,28928,19383,5938,0,2299,8347,664,1015,517,128,206,208,429,104,68,26,70,8,18,198,83,128,113,115,17,54,94,677,29,528,245,578,139421,73749,2534,71215
DEB19,Rhein-Hunsrück-Kreis,19707,11885,3790,0,1483,5633,490,627,369,108,155,118,318,75,44,19,37,18,16,113,41,84,74,65,9,47,58,344,16,258,152,332,81844,48778,2293,46485
DEB1A,Rhein-Lahn-Kreis,19414,16707,4652,0,1821,5644,658,753,485,96,171,153,133,50,62,34,55,16,13,159,48,144,90,128,21,58,88,677,27,375,191,429,99323,55946,2594,53352
DEB1B,Westerwaldkreis,37139,20458,6506,0,2636,9688,1018,1164,754,116,246,210,439,122,101,40,69,20,24,265,104,262,139,138,24,61,120,702,33,633,306,674,155804,88131,3920,84211
DEB21,"Trier, Stadt",13408,8611,6763,0,1407,3795,244,392,205,95,147,54,43,30,29,49,25,14,16,73,41,83,64,67,16,29,33,276,39,529,75,181,81045,37582,749,36833
DEB22,Bernkastel-Wittlich,25409,9769,4109,0,1659,6290,520,721,508,89,155,114,70,65,61,32,46,10,18,129,50,92,100,86,13,55,60,396,26,371,185,386,89926,54623,3029,51594
DEB23,Eifelkreis Bitburg-Prüm,21834,8811,3429,0,1362,5286,337,653,497,64,143,110,58,80,57,27,55,10,14,97,64,74,78,83,14,57,41,562,9,294,140,369,74318,47603,2894,44709
DEB24,Vulkaneifel,13221,5759,1950,0,878,3959,242,424,323,48,81,63,42,73,46,19,27,11,9,60,32,59,50,64,5,26,36,246,7,161,106,222,49892,29932,1683,28249
DEB25,Trier-Saarburg,29700,14766,6224,0,2177,6402,523,888,603,89,242,130,81,83,62,42,41,18,14,154,67,103,125,78,25,80,63,1058,22,469,171,475,110893,68623,3648,64975
DEB31,"Frankenthal (Pfalz), Stadt",6936,4022,1312,0,509,1401,439,175,93,15,44,48,64,25,15,7,11,3,2,41,14,41,34,17,6,10,20,121,4,85,48,131,34298,16195,502,15693
DEB32,"Kaiserslautern, Stadt",9548,8462,3126,0,1588,2867,659,467,272,63,110,77,103,31,28,18,25,9,3,75,19,53,36,42,23,41,45,250,17,386,101,220,72068,29538,774,28764
DEB33,"Landau in der Pfalz, Stadt",5314,4123,2501,0,607,1782,209,230,110,47,69,48,110,22,27,17,18,9,3,47,16,23,23,32,8,14,34,149,24,201,51,93,33526,16394,433,15961
DEB34,"Ludwigshafen am Rhein, Stadt",15362,15190,4120,0,2019,4228,2616,697,357,73,177,124,94,48,53,24,33,14,13,137,38,126,110,88,23,33,68,358,21,381,178,435,104340,48581,1343,47238
DEB35,"Mainz, Stadt",24081,16480,14999,0,2654,8003,2308,621,252,1085,166,116,116,82,40,47,41,29,26,120,79,74,109,152,40,46,73,233,93,1246,163,275,141798,75252,1403,73849
DEB36,"Neustadt an der Weinstraße, Stadt",9370,4848,2785,0,714,2637,348,293,210,62,66,55,137,35,24,15,20,2,4,65,28,50,44,33,13,22,39,394,5,161,92,180,41977,23420,669,22751
DEB37,"Pirmasens, Stadt",5215,3718,893,0,836,1386,814,284,130,19,49,47,34,14,20,2,14,4,4,39,26,50,27,20,3,13,21,190,4,105,63,136,33381,14890,710,14180
DEB38,"Speyer, Stadt",6103,4097,2670,0,747,1877,556,261,158,100,71,56,73,18,16,12,14,7,6,46,20,13,45,31,10,13,19,119,14,141,65,135,36874,17882,369,17513
DEB39,"Worms, Stadt",9114,8299,2475,0,900,2970,720,329,199,40,76,66,110,24,26,24,32,7,5,68,22,68,41,34,7,26,48,202,7,220,88,164,60192,27426,1015,26411
DEB3A,"Zweibrücken, Stadt",3436,3662,989,0,804,1345,198,199,103,113,42,21,47,13,15,10,4,2,3,31,19,44,21,14,4,11,16,191,4,128,42,80,27542,12005,394,11611
DEB3B,Alzey-Worms,18373,17002,5172,0,1656,6466,1543,855,534,119,181,160,265,54,57,31,38,8,23,149,64,186,86,71,14,61,98,610,37,439,148,360,96895,57273,2413,54860
DEB3C,Bad Dürkheim,23049,16957,5702,0,1883,7932,1683,1088,706,121,236,179,246,89,75,36,45,9,15,177,65,130,115,128,25,53,109,1261,29,435,264,588,105222,65547,2117,63430
DEB3D,Donnersbergkreis,10348,10773,2754,0,1519,3787,907,651,397,65,153,119,105,55,41,16,21,4,20,108,34,115,52,72,8,32,53,619,9,276,145,289,60031,35123,1576,33547
DEB3E,Germersheim,20545,12929,4250,0,1356,5554,1909,879,575,309,232,189,231,94,63,17,24,15,20,152,73,94,81,100,19,43,90,694,17,476,206,483,93610,53851,2132,51719
DEB3F,Kaiserslautern,18266,14119,3130,0,2148,4262,1413,944,587,83,207,169,178,65,75,23,34,21,13,137,72,81,86,79,12,36,99,845,28,387,178,446,83228,50725,2502,48223
DEB3G,Kusel,9251,12183,2431,0,2414,2960,1082,704,439,44,135,98,98,43,38,35,26,7,10,76,49,68,58,41,8,37,39,539,10,274,124,316,60475,35807,2170,33637
DEB3H,Südliche Weinstraße,20732,13326,5080,0,1538,6082,1058,915,582,110,263,160,268,83,90,28,44,15,12,134,63,120,73,125,17,40,106,790,25,403,168,444,87126,55291,2397,52894
DEB3I,Rhein-Pfalz-Kreis,24878,16943,6093,0,1740,7800,2085,964,605,140,207,209,183,84,55,29,58,12,15,196,65,129,125,92,21,44,91,737,40,531,242,577,116048,67059,2069,64990
DEB3J,Mainz-Bingen,34407,23238,11527,0,2315,10615,2037,1189,660,380,255,209,177,108,82,29,49,25,34,246,81,135,112,211,23,89,120,796,40,858,297,559,154859,93835,2932,90903
DEB3K,Südwestpfalz,21055,12675,2914,0,2129,5300,1586,964,664,131,238,155,186,71,68,22,51,12,13,152,58,162,93,78,14,42,91,880,25,377,266,502,81649,54430,3456,50974
DEC01,Regionalverband Saarbrücken,41365,34036,12763,0,18039,10384,867,2083,1907,200,452,294,59,172,141,203,73,35,24,369,161,602,327,211,33,133,104,1454,68,1235,344,978,256570,133723,4607,129116
DEC02,Merzig-Wadern,20090,12762,3192,0,4795,4918,296,738,864,47,198,120,41,134,52,41,26,8,12,124,226,163,103,94,9,79,46,596,16,402,136,417,83122,53543,2798,50745
DEC03,Neunkirchen,21141,20256,3753,0,8502,4217,452,965,1154,39,259,179,40,83,55,69,31,12,9,173,86,225,152,110,18,62,50,394,30,522,173,620,112983,66767,2936,63831
DEC04,Saarlouis,33470,23820,6834,0,11109,8103,634,1288,1439,94,397,219,59,179,104,60,51,15,20,241,89,290,200,181,29,105,97,1127,35,797,293,842,161350,96606,4385,92221
DEC05,Saarpfalz-Kreis,24670,16494,5520,0,7529,5784,612,931,2225,77,240,166,84,99,55,51,32,14,6,176,110,263,135,107,16,59,66,842,22,550,196,567,119511,70899,3201,67698
DEC06,St. Wendel,21960,13308,2798,0,4596,3130,311,614,807,39,208,94,43,81,44,26,33,11,11,85,51,132,97,102,10,46,48,325,27,350,111,339,75820,52780,2943,49837
DED991,"Chemnitz, Stadt",25968,14883,6876,0,22503,9752,2652,1362,1408,120,511,345,467,170,167,161,58,72,104,584,286,791,380,157,63,166,239,853,52,1037,407,1336,206031,96548,2618,93930
DED992,Erzgebirgskreis,58670,14347,5027,0,29208,14789,4821,2345,3026,163,907,618,2448,755,350,193,112,96,113,675,622,1706,379,248,80,290,324,3285,66,1189,548,2092,322262,157950,8458,149492
DED993,Mittelsachsen,61727,16126,5738,0,29604,15083,4533,2529,3281,175,1043,645,609,333,402,235,104,103,170,651,420,1619,462,269,66,342,405,2281,71,1379,581,2255,285353,162775,9534,153241
DED994,Vogtlandkreis,32054,11875,4337,0,18708,9104,2438,1292,1595,96,564,373,1189,292,241,139,93,47,50,469,292,708,286,140,50,144,160,1234,47,691,406,1384,214527,94832,4334,90498
DED995,Zwickau,43671,15115,5654,0,25984,11893,3169,1912,2070,115,736,448,1186,397,229,193,86,79,102,606,463,1086,413,182,52,202,225,2351,75,1101,483,1735,298582,127844,5831,122013
DED996,"Dresden, Stadt",66944,22756,27865,0,36853,20339,3528,2426,2203,430,901,666,605,245,368,301,107,108,384,1005,616,2343,886,841,259,579,472,1830,253,3869,723,2155,421924,207708,4848,202860
DED997,Bautzen,50294,13085,5398,0,25494,12892,3655,2189,3488,192,1061,720,585,337,454,217,99,84,135,768,492,1927,436,298,90,372,353,2304,82,1212,539,2259,278965,138498,6987,131511
DED998,Görlitz,40318,9938,4869,0,21272,9154,3225,2222,2994,153,850,683,507,297,408,162,93,89,146,694,292,1615,443,255,65,406,330,2085,82,1036,525,2172,240025,113071,5691,107380
DED999,Meißen,38110,9670,6054,0,18313,9747,2770,1644,2178,140,723,434,239,162,285,137,67,71,148,639,279,1349,417,286,77,283,223,1279,71,939,444,1621,216936,103558,4759,98799
DED99A,Sächsische Schweiz-Osterzgebirge,43271,8727,5514,0,18637,10307,3564,1821,2302,154,753,509,255,159,327,157,111,60,133,600,286,1660,402,311,77,320,277,2172,62,1095,501,2001,216356,112016,5491,106525
DED99B,"Leipzig, Stadt",42250,27389,22184,0,38630,16209,2632,2396,1909,321,886,635,426,146,315,363,94,221,240,978,295,1550,780,506,126,280,453,1290,167,2871,752,2161,415150,173789,4334,169455
DED99C,Leipzig,37884,14450,5084,0,21215,10555,2418,1748,2084,129,735,470,295,150,266,159,77,75,81,588,209,1164,400,166,41,221,249,1380,52,897,486,1759,231514,110651,5164,105487
DED99D,Nordsachsen,26070,10142,3021,0,15567,7706,1984,1117,1546,82,544,325,117,88,175,138,54,60,52,398,154,905,360,126,41,152,153,1211,31,589,294,1163,179152,78114,3749,74365
DEE01,"Dessau-Roßlau, Stadt",6045,3737,1681,0,4860,1586,169,234,314,31,80,32,22,41,40,38,13,16,9,83,30,253,60,31,15,25,46,87,18,161,152,230,76861,20669,530,20139
DEE02,"Halle (Saale), Stadt",16338,12480,8042,0,18437,6588,624,1021,1141,169,391,196,118,103,159,213,51,74,71,334,146,548,687,127,78,134,226,249,68,919,468,609,193951,72781,1972,70809
DEE03,"Magdeburg, Landeshauptstadt",15841,15212,5728,0,17177,4940,604,1162,1031,139,359,182,106,111,130,165,47,71,45,306,109,508,282,108,75,83,198,248,73,796,529,694,195800,68977,1918,67059
DEE04,Altmarkkreis Salzwedel,9451,5947,1430,0,7112,2660,324,507,963,75,269,107,73,89,100,81,45,51,42,170,98,299,85,92,32,70,152,142,11,256,320,491,77943,33339,1795,31544
DEE05,"Anhalt-Bitterfeld (Köthen, Bitterfeld)",15401,9430,1985,0,11783,4267,674,969,1426,89,392,157,95,161,177,122,72,78,60,233,141,695,193,74,55,124,153,212,37,398,472,749,156092,53643,2769,50874
DEE06,Jerichower Land,9469,5733,1410,0,7180,2667,320,598,916,56,271,101,55,79,88,72,37,58,43,161,93,292,117,51,38,67,105,182,24,204,327,479,84086,33094,1801,31293
DEE07,"Börde (Bördekreis, Ohrekreis)",17783,11539,2405,0,12734,5264,622,1201,1771,112,459,186,91,217,150,153,56,66,70,288,152,477,232,89,59,201,209,423,35,399,582,855,156030,62030,3150,58880
DEE08,"Burgenlandkreis (Weißenfels, Burgenland)",18658,10275,2683,0,14267,6013,1153,1193,1976,108,550,216,142,249,275,223,128,103,94,326,252,841,255,102,53,216,215,541,35,441,640,944,171241,66487,3320,63167
DEE09,"Harz (Halberstadt, Wernigerode, Quedlingburg)",26116,13784,3706,0,16974,5509,984,1382,1901,319,541,286,160,225,239,181,113,131,104,309,195,851,257,144,64,166,288,398,41,574,691,1126,204639,81286,3527,77759
DEE0A,"Mansfeld-Südharz (Manselder Land, Sangerhausen)",14198,8254,1667,0,12985,4103,834,1067,1436,76,414,144,99,173,168,140,95,60,67,240,138,643,188,71,41,155,154,330,22,337,499,785,134918,52576,2993,49583
DEE0B,"Saalekreis (Merseburg-Querfurt, Saalkreis)",18607,10086,2748,0,13895,6341,806,1032,1712,101,513,194,101,173,201,199,105,85,74,298,140,642,292,105,66,188,192,488,37,504,518,822,171991,64555,3290,61265
DEE0C,"Salzlandkreis (Aschersleben-Staßfurt, Schönebeck, Bernburg)",18196,10860,2505,0,14743,5640,822,1194,1636,103,444,196,182,182,196,155,91,85,78,262,175,603,253,94,65,176,229,257,36,418,633,929,185498,64837,3399,61438
DEE0D,Stendal,11680,7266,1843,0,9803,3260,456,654,1249,92,318,160,124,126,129,94,75,69,51,140,121,404,152,79,53,118,407,184,26,297,394,616,105385,42307,1867,40440
DEE0E,Wittenberg,15948,8265,2049,0,11435,4062,663,903,1312,116,385,158,139,163,196,119,79,76,71,218,131,537,179,72,46,166,157,657,36,409,437,639,120980,52909,3086,49823
DEF01 ,"Flensburg, Stadt",6985,5915,3818,0,1259,2263,84,275,213,30,81,53,60,22,26,35,12,9,4,67,26,76,47,42,16,18,34,81,10,476,94,271,69522,22614,212,22402
DEF02 ,"Kiel, Landeshauptstadt",17040,17740,12103,0,3123,6288,199,574,327,122,159,71,83,50,52,84,22,18,19,131,87,264,127,158,24,50,51,215,44,1245,271,479,182806,61611,391,61220
DEF03 ,"Lübeck, Hansestadt",16605,15769,9287,0,3059,6646,284,493,500,101,157,107,99,46,37,35,37,16,12,97,46,248,117,87,23,34,50,225,35,724,284,494,166078,56287,533,55754
DEF04 ,"Neumünster, Stadt",8737,7414,2147,0,1059,2912,101,211,284,24,66,51,126,27,19,29,4,5,9,53,31,101,42,34,9,19,19,115,12,214,70,222,60999,24898,732,24166
DEF05,Dithmarschen,15580,7809,2878,0,1317,5011,144,277,332,34,98,66,39,23,30,25,28,6,11,61,40,96,86,51,9,27,27,177,22,247,106,273,108539,35439,509,34930
DEF06,Herzogtum Lauenburg,21969,13851,7937,0,2315,7682,330,566,611,79,136,108,112,36,43,37,37,17,14,98,52,226,124,88,16,47,46,331,20,374,222,476,147503,58624,624,58000
DEF07,Nordfriesland,19628,10139,5245,0,1318,4833,124,441,436,70,112,91,62,28,42,28,22,8,13,124,38,128,102,60,15,31,60,170,28,317,138,373,132140,44661,437,44224
DEF08,Ostholstein,23298,14561,6628,0,2166,8202,268,561,513,71,169,101,122,42,42,28,37,5,15,126,53,314,125,92,19,40,34,388,23,366,230,570,165052,59995,786,59209
DEF09,Pinneberg,33043,22019,12885,0,3409,12262,311,772,780,155,167,150,158,53,39,147,49,14,21,215,114,290,175,124,24,64,72,558,41,734,282,749,231701,90839,963,89876
DEF0A,Plön,15697,10316,5456,0,1450,5034,132,382,409,56,103,61,52,23,28,31,17,10,5,79,49,149,102,67,18,40,27,254,13,301,190,309,104494,41306,446,40860
DEF0B,Rendsburg-Eckernförde,32837,19859,10298,0,2348,9785,263,764,721,96,236,131,126,37,59,56,45,15,14,200,78,252,139,160,18,62,65,380,33,688,273,777,216462,81638,823,80815
DEF0C,Schleswig-Flensburg,24808,12756,6817,0,1809,6034,146,558,519,73,170,118,82,27,41,28,34,12,14,153,52,147,135,109,16,37,42,301,14,388,225,598,155935,56833,570,56263
DEF0D,Segeberg,28885,16564,8872,0,2992,10785,288,696,842,123,183,137,141,43,52,48,26,13,14,166,83,245,189,125,22,45,67,502,34,608,507,706,204973,74731,728,74003
DEF0E,Steinburg,15140,8444,4300,0,1238,4661,150,326,421,46,109,81,83,24,29,35,13,10,7,116,56,142,88,51,9,35,31,134,17,280,113,531,105858,37174,454,36720
DEF0F,Stormarn,28116,17214,11097,0,2853,10493,285,652,586,114,149,128,139,37,38,50,38,15,7,187,78,217,179,108,16,43,63,430,33,659,203,607,181508,75499,665,74834
DEG01,"Erfurt, Stadt",19822,15330,7972,0,19284,5584,1273,1296,1347,128,478,285,107,51,133,138,44,51,27,420,170,498,281,178,46,149,137,1676,53,935,247,926,168067,81230,2164,79066
DEG02,"Gera, Stadt",10183,5079,2163,0,12279,3074,761,650,830,42,242,217,53,28,98,79,28,29,11,272,143,373,185,66,27,59,85,214,18,358,167,582,85869,39412,1017,38395
DEG03,"Jena, Stadt",10103,8603,6655,0,10246,4176,742,521,633,132,257,202,87,32,79,96,26,28,25,221,92,213,124,109,49,98,100,472,45,833,140,467,85405,46449,843,45606
DEG04,"Suhl, Stadt",3569,2123,886,0,5784,1214,252,210,332,25,92,66,26,11,36,34,8,9,4,99,31,123,50,40,7,25,25,246,5,130,51,255,34286,16223,455,15768
DEG05,"Weimar, Stadt",7615,3895,4130,0,5927,2325,529,437,445,47,165,114,41,35,45,45,23,7,18,116,52,189,74,59,25,39,61,177,16,356,91,336,51991,28068,634,27434
DEG06,Eichsfeld,25835,5463,1917,0,6351,4199,863,515,1143,319,299,204,87,118,97,27,18,16,21,178,102,343,99,60,9,80,100,1355,12,320,131,523,88206,52481,1677,50804
DEG07,Nordhausen,10996,7473,1865,0,10339,3335,716,558,756,37,225,162,75,37,76,65,5,10,18,146,63,287,87,41,16,39,53,166,5,262,151,569,76936,40033,1400,38633
DEG09,Unstrut-Hainich-Kreis,15844,8358,1744,0,9544,3883,826,647,1158,36,304,241,42,48,90,64,24,24,20,212,117,315,118,75,19,83,100,1002,22,305,144,715,92720,48013,1889,46124
DEG0A,Kyffhäuserkreis,10891,6150,1300,0,9544,2628,786,673,858,34,287,199,35,37,94,44,23,19,15,176,99,313,87,53,10,90,78,402,16,278,138,621,71971,37705,1727,35978
DEG0B,Schmalkalden-Meiningen,17859,8393,2847,0,14304,4636,1294,943,1965,52,443,311,128,59,146,106,44,42,27,261,127,470,146,135,10,187,118,1537,23,428,208,838,114280,60653,2566,58087
DEG0C,Gotha,20097,11774,3061,0,13164,4665,1440,1220,1474,45,409,393,91,50,163,60,18,28,45,291,149,481,166,108,21,322,151,1019,27,475,206,877,118783,64883,2393,62490
DEG0D,Sömmerda,11382,4315,1245,0,8086,2773,830,621,888,26,278,154,34,27,89,42,13,23,18,179,74,235,93,57,10,77,72,562,8,258,109,498,63315,34644,1568,33076
DEG0E,Hildburghausen,9555,4635,1171,0,8225,2417,727,474,821,38,266,145,27,32,61,35,37,12,14,113,85,307,56,78,4,41,78,871,15,244,92,402,58965,32480,1402,31078
DEG0F,Ilm-Kreis,15549,7382,2806,0,12404,3711,1084,912,1301,49,378,278,86,36,162,78,38,28,30,288,135,557,165,85,21,109,131,1047,27,547,208,814,96306,52801,2355,50446
DEG0G,Weimarer Land,13241,5421,2115,0,8011,3515,1004,708,937,31,309,190,37,40,96,44,32,19,20,176,93,273,126,66,13,79,82,1018,10,296,126,528,71768,40311,1655,38656
DEG0H,Sonneberg,7635,3625,854,0,7642,1929,666,452,511,32,174,105,57,20,49,45,22,13,7,129,46,321,61,95,3,32,53,326,13,234,84,388,53125,26743,1120,25623
DEG0I,Saalfeld-Rudolstadt,15070,7655,2256,0,13208,4577,1473,934,1429,66,454,326,61,68,168,110,37,23,35,289,159,645,158,132,28,224,173,960,17,563,228,827,102699,54436,2083,52353
DEG0J,Saale-Holzland-Kreis,13231,5568,2068,0,10603,3929,1073,675,1078,57,306,256,62,32,140,69,61,32,31,242,157,352,104,70,11,106,127,434,14,369,171,614,74443,43829,1787,42042
DEG0K,Saale-Orla-Kreis,12236,5983,1727,0,9955,3568,1034,702,1145,52,335,213,137,87,148,74,21,21,85,171,105,340,97,70,13,82,96,630,9,368,153,579,76302,41953,1717,40236
DEG0L,Greiz,16325,6911,2243,0,11173,4931,1188,887,1366,78,452,290,144,88,126,73,33,25,24,254,189,445,147,106,19,138,113,605,30,411,162,801,95446,51913,2136,49777
DEG0M,Altenburger Land,12647,6509,1451,0,9634,3495,1063,763,1018,37,370,180,92,51,114,68,33,15,26,249,127,379,160,65,12,62,80,225,14,389,182,709,87650,42094,1875,40219
DEG0N,"Eisenach, Stadt",4996,3066,1392,0,4221,1281,405,318,303,34,104,101,34,20,108,33,9,5,11,84,28,216,58,35,8,37,57,106,3,118,51,325,35760,18023,456,17567
DEG0P,Wartburgkreis,20177,10207,2605,0,13067,4240,1736,956,1361,70,415,313,65,74,170,86,30,21,30,223,128,522,115,138,9,112,134,1805,21,433,176,755,113922,62783,2589,60194
DE1,BADEN-WÜRTTEMBERG,1478135,689812,572267,0,114105,537100,73565,45596,37736,18875,11845,12450,26765,9526,4702,2231,3415,1067,1374,7575,7274,8311,7724,8069,2175,4449,8230,49149,2607,33209,13248,26939,7635842,3968608,149083,3819525
DE11,Stuttgart,534290,272345,211628,0,43267,199219,34171,15217,12712,7944,3895,4107,11056,2823,1628,865,1325,343,522,2756,3202,3490,3010,2822,675,1701,2855,20310,846,11811,4747,9292,2782503,1470669,45795,1424874
DE12,Karlsruhe,364528,188300,135271,0,29435,134637,17112,12211,8735,2382,2984,2766,7244,2051,1042,619,752,233,289,1585,1431,2186,1452,1657,389,853,1726,8606,625,9219,3068,6158,1952764,985711,36165,949546
DE13,Freiburg,299064,133619,126577,0,22097,107983,10882,10290,8334,3365,2576,3090,4528,2178,1093,458,723,293,319,1744,1364,1421,2151,2061,847,1146,2197,11188,748,6453,3215,6740,1596860,818822,40078,778744
DE14,Tübingen,280253,95548,98791,0,19306,95261,11400,7878,7955,5184,2390,2487,3937,2474,939,289,615,198,244,1490,1277,1214,1111,1529,264,749,1452,9045,388,5726,2218,4749,1303715,693406,27045,666361
DE2,BAYERN,0,507527,455032,1896762,91733,356506,50685,30209,18047,83927,6731,6529,8381,6332,4854,1940,40244,747,1185,7074,3890,9746,3984,8131,1107,3056,5788,266257,1903,29236,18887,20174,9386096,3974578,27974,3946604
DE21,Oberbayern,0,166528,205499,634482,29196,146377,14157,10880,5372,31247,2164,2153,1942,1982,1879,822,18522,272,540,2529,1181,2652,1446,3383,448,973,1457,64370,816,11106,8356,7296,3123730,1387655,7628,1380027
