NUTSID,NUTSName,CDU,SPD,GRNE,CSU,DIELINKE,FDP,REP,DieTierschutzpartei,FAMILIE,dp,DIEFRAUEN,Volksabstimmung,PBC,CM,AUFBRUCH,DKP,BP,PSG,BSo,Plus,AUF,DVU,DIEGRAUEN,DIEVIOLETTEN,EDE,FBI,VOLKSENTSCHEIDE,FWFREIEWHLER,Newropeans,PIRATEN,RRP,RENTNER,Wahlberechtigte,Whler,Ungltige,Gltige
DE723,Limburg-Weilburg,22836,10852,4528,0,1386,5610,483,422,261,77,136,152,77,85,32,29,44,18,14,72,59,106,94,78,18,50,56,363,19,387,130,422,132066,50131,1235,48896
DE724,Marburg-Biedenkopf,22314,17566,11408,0,3295,6565,754,441,307,142,167,173,335,120,35,58,49,25,29,84,108,147,63,86,17,39,52,298,48,650,103,380,185244,66676,818,65858
DE725,Vogelsbergkreis,10774,8039,3222,0,1083,4125,413,212,193,38,90,89,70,38,24,21,29,8,13,50,54,91,31,50,9,22,33,391,5,218,36,186,90150,30261,604,29657
DE731,"Kassel, documenta-Stadt",14119,12853,11155,0,3260,4688,325,412,179,87,130,118,101,40,27,59,25,15,19,64,68,78,77,110,29,14,62,146,27,633,69,286,140842,50120,845,49275
DE732,Fulda,30668,8593,5808,0,1536,6195,631,396,383,101,143,163,137,226,57,45,63,16,13,118,153,151,83,93,18,44,56,346,12,368,110,434,168532,58139,979,57160
DE733,Hersfeld-Rotenburg,11406,11918,2641,0,1164,3760,313,227,187,47,74,80,176,39,19,15,24,16,11,60,41,150,42,30,6,20,39,205,7,179,62,216,98938,33782,608,33174
DE734,Kassel,20179,25214,7989,0,2566,6699,515,549,354,71,151,164,129,54,35,33,38,14,10,129,53,111,125,77,24,53,49,261,18,433,125,571,192080,68383,1590,66793
DE735,Schwalm-Eder-Kreis,16662,20883,5991,0,2013,6359,496,519,345,74,153,148,119,50,50,35,39,10,13,102,53,194,55,65,10,31,32,463,12,296,93,410,148295,57555,1780,55775
DE736,Waldeck-Frankenberg,16389,12453,4810,0,1299,6328,467,335,289,79,104,102,155,52,35,19,23,8,13,49,68,110,76,42,7,23,56,266,17,242,50,256,129014,44842,620,44222
DE737,Werra-Meißner-Kreis,11340,12381,3284,0,1398,3503,315,289,215,44,92,95,63,37,22,29,23,8,9,63,31,74,48,41,34,13,30,232,10,163,80,292,85733,35387,1129,34258
DE801,"Greifswald, Hansestadt",5784,2240,2151,0,3917,1259,163,172,361,43,101,49,32,9,30,60,9,19,13,79,40,92,87,36,29,41,53,171,21,324,107,235,45400,18142,415,17727
DE802,"Neubrandenburg, Stadt",5981,3521,1049,0,6741,1419,241,202,435,26,151,88,33,23,35,67,10,23,13,127,47,147,98,35,51,32,70,94,11,165,143,350,56493,22008,580,21428
DE803,"Rostock, Hansestadt",16029,13925,6922,0,19290,5844,728,787,1367,130,415,277,98,47,283,165,30,87,34,284,127,622,756,199,99,112,212,383,65,1004,316,931,169654,73343,1775,71568
DE804,"Schwerin, Landeshauptstadt",7973,6654,2395,0,8485,1962,261,292,507,38,185,92,38,15,50,49,20,24,16,153,45,292,167,52,39,63,82,127,22,265,151,428,78917,31706,764,30942
DE805,"Stralsund, Hansestadt",7335,2332,994,0,4446,1117,366,214,451,23,137,72,40,27,34,45,5,7,10,90,32,151,98,33,16,43,73,85,24,159,153,356,49207,19548,580,18968
DE806,"Wismar, Hansestadt",3597,3990,976,0,3396,1112,122,173,325,14,119,55,29,13,26,25,2,17,13,71,30,114,83,44,39,37,56,97,12,125,121,304,36431,15607,470,15137
DE807,Bad Doberan,16317,8305,2933,0,11075,4559,608,751,1346,72,454,202,83,40,111,93,25,49,38,222,82,409,300,109,49,106,147,222,25,383,302,722,99379,52440,2301,50139
DE808,Demmin,11029,3161,931,0,7249,1941,431,371,810,30,255,89,60,52,69,40,19,23,28,110,63,255,151,90,62,102,118,223,12,176,197,510,69250,30525,1868,28657
DE809,Güstrow,12160,5931,1551,0,7791,2603,410,446,839,51,330,123,60,28,86,81,22,24,24,130,234,333,160,91,44,71,111,413,20,224,216,553,85555,37106,1946,35160
DE80A,Ludwigslust,16245,11444,2221,0,9928,4315,666,644,1266,44,486,197,103,43,110,80,47,38,41,230,99,616,258,92,61,87,164,255,23,335,261,853,104507,53848,2596,51252
DE80B,Mecklenburg-Strelitz,10923,5308,1464,0,8241,2273,543,453,777,38,304,136,34,33,78,52,18,29,29,201,70,392,173,55,47,70,125,211,16,195,187,530,68122,34802,1797,33005
DE80C,Müritz,8513,4526,1257,0,5511,1829,305,329,620,43,270,100,53,22,63,38,19,17,17,115,63,206,106,51,19,35,63,373,19,141,112,422,55807,26852,1595,25257
DE80D,Nordvorpommern,18360,4647,1562,0,8604,2587,571,507,993,42,364,172,49,58,83,85,30,36,39,143,75,390,210,101,78,93,131,309,24,289,238,675,92002,43890,2345,41545
DE80E,Nordwestmecklenburg,14507,10028,2470,0,9917,3696,497,675,1309,60,416,182,57,46,101,87,55,31,39,178,83,388,247,122,59,109,160,294,32,324,264,758,97555,49846,2655,47191
DE80F,Ostvorpommern,15302,4785,1891,0,9746,3269,984,676,1295,45,381,217,93,62,124,95,32,46,55,254,93,679,214,101,73,126,159,377,22,324,245,759,91216,45327,2803,42524
DE80G,Parchim,13119,7403,1669,0,8322,2971,487,510,979,68,347,153,95,56,96,64,35,25,39,177,88,325,185,90,49,74,111,205,26,236,201,652,83201,41130,2273,38857
DE80H,Rügen,8268,2409,1184,0,6365,2489,406,363,569,30,245,109,40,31,60,38,27,24,26,130,53,204,125,57,47,86,123,228,16,198,217,540,58526,26327,1620,24707
DE80I,Uecker-Randow,10005,3622,830,0,7281,1925,701,424,878,34,272,164,35,51,67,65,22,34,46,150,68,608,173,66,49,107,135,173,18,165,197,574,62111,30836,1897,28939
DE911,"Braunschweig, Stadt",26134,21364,13347,0,4231,7488,548,907,448,172,201,173,149,51,63,67,38,21,24,136,72,181,113,130,22,63,90,179,62,1223,822,817,189825,80134,798,79336
DE912,"Salzgitter, Stadt",9800,9716,2033,0,1504,2145,732,310,192,19,65,65,80,39,18,24,15,9,5,53,27,109,58,20,6,21,28,65,9,194,255,416,77691,28452,420,28032
DE913,"Wolfsburg, Stadt",14298,10644,3230,0,1423,2361,236,260,202,34,80,83,146,43,24,25,8,5,7,49,22,139,73,49,11,27,24,55,10,278,786,378,91792,35389,379,35010
DE914,Gifhorn,21869,15147,5296,0,1882,4487,356,506,425,71,134,124,508,38,39,20,24,8,6,86,67,136,73,63,11,45,45,95,18,402,594,430,134071,53500,495,53005
DE915,Göttingen,27533,23166,15052,0,4108,7933,417,578,405,127,196,164,115,66,47,103,51,32,14,149,68,198,120,127,25,57,86,279,54,892,205,417,197393,83506,722,82784
DE916,Goslar,16525,13015,4003,0,2229,4426,315,512,311,53,106,120,78,26,33,25,34,10,11,88,64,227,88,42,8,32,38,219,19,342,379,489,116126,44439,572,43867
DE917,Helmstedt,11860,9840,2738,0,1221,2547,271,391,201,35,67,89,79,22,37,16,23,6,8,64,29,144,53,24,7,29,46,79,12,217,326,346,76285,31202,375,30827
DE918,Northeim,16602,16983,4047,0,1748,4618,402,336,288,40,115,109,85,35,41,28,31,6,10,90,40,107,67,65,6,38,56,89,11,286,130,290,114360,47411,612,46799
DE919,Osterode am Harz,8743,8127,1906,0,948,2397,228,206,157,28,56,56,40,14,26,15,22,6,5,46,20,105,44,19,9,18,22,59,4,145,129,216,65114,24128,312,23816
DE91A,Peine,14440,14905,3989,0,1542,3595,396,407,278,37,106,88,121,24,19,20,24,12,13,72,43,97,78,34,9,35,31,53,12,331,279,428,103151,41854,336,41518
DE91B,Wolfenbüttel,16317,13471,5422,0,1785,4190,390,558,298,65,101,95,96,22,22,21,19,13,6,68,26,215,62,45,16,23,35,90,17,305,437,548,97881,45300,522,44778
DE922,Diepholz,24176,16740,7881,0,2362,9249,368,558,449,72,125,150,140,55,50,23,34,11,17,181,65,210,121,74,13,57,50,184,21,439,256,555,168192,65206,520,64686
DE923,Hameln-Pyrmont,16950,14319,5019,0,1964,4658,388,382,292,39,103,114,84,29,31,34,33,16,8,103,40,168,89,54,20,43,40,146,12,288,330,450,122041,46746,500,46246
DE925,Hildesheim,36587,29594,11416,0,3412,8242,700,830,570,107,188,203,169,82,56,63,63,22,21,204,75,430,171,137,18,57,92,185,42,743,431,769,223143,96632,953,95679
DE926,Holzminden,9609,10940,2514,0,1015,2923,214,279,179,27,65,54,79,24,22,18,8,6,3,51,31,77,47,31,6,15,31,40,9,171,99,258,60504,29573,728,28845
DE927,Nienburg (Weser),14380,10268,3717,0,1118,3343,277,284,234,28,64,69,67,28,23,19,15,5,13,72,42,113,43,36,7,39,23,71,10,188,239,340,96682,35464,289,35175
DE928,Schaumburg,18663,17069,5555,0,1769,4913,408,467,365,62,127,125,185,64,46,21,33,12,15,108,52,154,67,66,9,46,44,109,24,400,407,452,127027,52286,449,51837
DE929,Region Hannover,118898,105438,56331,0,16221,38605,2928,3110,1704,560,733,795,711,369,239,293,219,93,99,703,324,1032,752,470,130,263,323,1066,177,3336,2177,2595,842278,363609,2915,360694
