NUTSID,NUTSName,CDA,PVV,PvdA,VVD,D66,GL,SP,CUSGP,PvdD,EKP,Newropeans,Libertas,LDP,DG,Solidara,EVD,PEP,Electorate,Votes,Validvotes,Ongeldigestemmen,Blancostemmen
NL21,Overijssel,81648,39443,37180,28978,26677,21507,19813,36365,7364,1117,1031,699,565,595,748,221,134,848338,305177,304085,505,587
NL22,Gelderland,125275,82539,67038,60660,60703,51409,39915,60855,16794,2339,2202,1489,1145,1119,749,501,264,1521198,576873,574996,877,1000
NL23,Flevoland,14791,20373,10122,11036,9113,6642,6290,8324,3866,494,406,331,205,152,173,111,58,272353,92905,92487,254,164
NL31,Utrecht,61916,55420,40851,45266,56783,45298,21990,34883,12519,1454,1940,1356,1076,721,523,316,173,907064,384018,382485,570,963
NL32,Noord-Holland,91134,130421,95563,94707,110996,91024,54551,16794,34567,3969,4187,2732,2218,1983,1554,913,421,1970838,740952,737734,1633,1585
NL33,Zuid-Holland,168377,188321,106722,114348,114258,75834,59322,85088,36839,4549,4076,3473,2575,1563,2091,953,650,2582303,974669,969039,3393,2237
NL34,Zeeland,21552,17464,11176,10835,7883,6347,6324,19035,4019,541,416,310,149,145,89,87,56,290170,106791,106428,186,177
NL41,Noord-Brabant,152170,107902,62782,82558,64790,45490,55709,11504,17592,3160,2978,2179,1443,975,730,760,302,1852684,615899,613024,1178,1697
NL42,Limburg,90707,70646,28336,22632,20825,18439,22643,2554,8963,1309,1032,954,565,480,305,235,169,875153,292021,290794,498,729
NL1,NOORD-NEDERLAND,105663,60217,88921,47623,43394,42030,36712,35138,15212,2516,1572,1089,816,784,571,334,200,1325396,484438,482792,772,874
NL2,OOST-NEDERLAND,221714,142355,114340,100674,96493,79558,66018,105544,28024,3950,3639,2519,1915,1866,1670,833,456,2641889,974955,971568,1636,1751
NL3,WEST-NEDERLAND,342979,391626,254312,265156,289920,218503,142187,155800,87944,10513,10619,7871,6018,4412,4257,2269,1300,5750375,2206430,2195686,5782,4962
NL4,ZUID-NEDERLAND,242877,178548,91118,105190,85615,63929,78352,14058,26555,4469,4010,3133,2008,1455,1035,995,471,2727837,907920,903818,1676,2426
NL,NETHERLANDS,913233,772746,548691,518643,515422,404020,323269,310540,157735,21448,19840,14612,10757,8517,7533,4431,2427,12445497,4573743,4553864,9866,10013
