"","country_year","EU.stance.mean","EU.stance.sd","inst.EUS","gen.EUS","nation","year","left.mean","pola.sum","pola.index","rile.sum","rile.pola.index","sum.EUS.vote","p2sum","enop","member","CEE","member.dur","avg.EUS","diff.EUS"
"1","11_04",-0.131294488906865,14.2377330156848,27.0242914979757,24.5951417004049,11,2004,5.625,14.038250194192,3.74676529745218,5.29556736778314,2.30120997907256,27.3000001907349,0.168975069252078,5.91803278688525,1995,0,9,25.8097165991903,-1.4902835915446
"2","11_09",-2.70943787362841,11.8591720926448,24.1791044776119,17.8109452736318,11,2009,5.16666666666667,7.2717775885264,2.69662336794117,4.45550929554429,2.11080773533363,9.29999971389771,0.155124653739612,6.44642857142857,1995,0,14,20.9950248756219,11.6950251617241
"3","11_95",-0.992507934570321,13.1308038975965,25.130890052356,45.8638743455497,11,1995,5.28571428571429,17.5885717368613,4.19387311883195,14.5022727126925,3.80818496303587,30.1000003814698,0.214876033057851,4.65384615384615,1995,0,0,35.4973821989528,5.39738181748305
"4","11_99",2.83599683216641,13.986838995266,29.039070749736,35.2692713833157,11,1999,5.14285714285714,14.9103675756649,3.8613945117878,20.1113816710818,4.48457151476948,15.8000001907349,0.181818181818182,5.5,1995,0,4,32.1541710665258,16.3541708757909
"5","13_04",0.794496536254888,17.4052953801372,22.718253968254,14.1865079365079,13,2004,5.66666666666667,23.9404441155328,4.89289731299695,5.29427366242531,2.30092886948409,12,0.193877551020408,5.15789473684211,1973,0,31,18.4523809523809,6.45238095238095
"6","13_09",-4.69558727741243,18.4977577256092,19.6196196196196,13.5135135135135,13,2009,4.875,42.1971878531576,6.49593625685763,4.40132436529449,2.09793335578004,22.5,0.224852071005917,4.44736842105263,1973,0,36,16.5665665665666,-5.93343343343349
"7","13_79",3.02938069403171,12.8863627471394,30.293501048218,27.3584905660377,13,1979,5.75,8.43474996745586,2.9042641008448,4.50842732913569,2.12330575498106,20.8999996185303,0.04296875,23.2727272727273,1973,0,6,28.8259958071278,7.92599618859755
"8","13_84",1.30166498819987,23.8067747511137,33.1096196868009,33.1096196868009,13,1984,6,8.9439998626709,2.99065207984327,4.16892858883147,2.04179543266006,3.5,0.0234375,42.6666666666667,1973,0,11,33.1096196868009,29.6096196868009
"9","13_89",10.7798272115844,21.4987373902034,30.3157894736842,24.2105263157895,13,1989,4.66666666666667,10.2777778572506,3.20589735600668,0.781466539770423,0.88400596138851,18.8999996185303,0.09765625,10.24,1973,0,16,27.2631578947368,8.36315827620655
"10","13_94",6.58975987964206,27.4791029778011,27.0408163265306,18.5714285714286,13,1994,5.28571428571429,15.7385309701063,3.96718174150194,5.30565884835391,2.30340158208548,13.2000002861023,0.140625,7.11111111111111,1973,0,21,22.8061224489796,9.60612216287727
"11","13_99",3.9197165608406,22.4117901278293,22.8778467908903,23.9130434782609,13,1999,6.25,18.2685000996292,4.27416659708406,11.6197886559099,3.40878111000251,13.1000003814697,0.1484375,6.73684210526316,1973,0,26,23.3954451345756,10.2954447531059
"12","14_04",9.48524066380092,7.62408726066984,36.9849246231156,16.6834170854271,14,2004,5.71428571428571,10.5399187383847,3.24652410100166,6.37553265875619,2.52498171453898,4.30000019073486,0.224489795918367,4.45454545454546,1995,0,9,26.8341708542713,22.5341706635365
"13","14_09",-0.0348500013351414,13.8676885243517,32.064128256513,18.5370741482966,14,2009,4.75,23.3292503213883,4.83003626501792,8.76743351513026,2.96098522710436,9.80000019073486,0.171597633136095,5.82758620689655,1995,0,14,25.3006012024048,15.5006010116699
"14","14_96",7.90559999148052,7.46212563003816,34.7554630593132,25.7023933402706,14,1996,5,10.3480002784729,3.21683078175911,5.70734809260528,2.38900567027483,10.5,0.2109375,4.74074074074074,1995,0,1,30.2289281997919,19.7289281997919
"15","14_99",10.7161313465663,9.96611480842212,32.2456813819578,20.1535508637236,14,1999,5.42857142857143,12.3747753462499,3.51777988882902,8.48734788731796,2.91330531996184,2.40000009536743,0.1875,5.33333333333333,1995,0,4,26.1996161228407,23.7996160274733
"16","21_04",6.83141273756822,10.3637645936396,21.155830753354,6.70794633642931,21,2004,4.91666666666667,25.4869167535835,5.04845686854741,11.4497042483128,3.38374116154189,17.1000001430512,0.166666666666667,6,1952,0,52,13.9318885448917,-3.16811159815953
"17","21_09",5.12750327587127,10.4350634283421,21.9463753723932,10.12909632572,21,2009,4.75,20.1427496570349,4.48806747465263,6.42721349009124,2.53519496096281,15.6999995708466,0.12482853223594,8.01098901098901,1952,0,57,16.0377358490566,0.337736278210048
"18","21_79",11.8605800469716,4.2751268691808,23.1038506417736,2.9171528588098,21,1979,5,12.1279999732971,3.48252781371479,19.7158474810127,4.44025308749543,7.59999990463257,0.144097222222222,6.93975903614458,1952,0,27,13.0105017502917,5.41050184565913
"19","21_84",10.7339682281017,6.92204787145573,7.27470141150923,27.3615635179153,21,1984,4.5,12.5720001649857,3.54570164635798,17.6564190900747,4.20195419895014,3.90000009536743,0.116319444444444,8.59701492537313,1952,0,32,17.3181324647123,13.4181323693448
"20","21_89",11.8905788560708,9.99009580348676,18.8097768331562,3.40063761955367,21,1989,5,11.508000125885,3.39234434070084,4.18377049705333,2.04542672737337,13.9000000953674,0.0850694444444444,11.7551020408163,1952,0,37,11.1052072263549,-2.7947928690125
"21","21_94",10.8115803864267,11.389571440377,10.5212355212355,31.6602316602317,21,1994,5.33333333333333,14.8328888617622,3.8513489665002,6.58719705623855,2.56655353660089,7.80000019073486,0.0864,11.5740740740741,1952,0,42,21.0907335907336,13.2907333999987
"22","21_99",15.5441439693624,18.8502937839767,38.4293193717278,8.58638743455497,21,1999,4.90909090909091,12.1140495114287,3.48052431559222,4.86106237327637,2.20478170649077,17.0999999046326,0.0992,10.0806451612903,1952,0,47,23.5078534031414,6.40785349850882
"23","22_04",5.63493345843421,14.477367230656,15.7842157842158,9.19080919080919,22,2004,5.22222222222222,9.06864198166646,3.01141859954183,7.45874332789682,2.73106999688708,2.5,0.179698216735254,5.56488549618321,1952,0,52,12.4875124875125,9.98751248751249
"24","22_09",4.41270124912263,13.6618660824685,14.0913508260447,6.60835762876579,22,2009,5.71428571428571,14.9999998801095,3.87298333072962,1.40670608158534,1.18604640785483,17,0.100694444444444,9.93103448275862,1952,0,57,10.3498542274052,-6.65014577259475
